SpecimenID,PopulationCode,UTMN,UTMW,Elevation,Lat,Long
ALM16-001,Grand view 2,535609,4861415,2285,43.904982,-110.556561
ALM16-002,Surprise fall down,520001,4841263,2105,43.724128,-110.751678
ALM16-003,AMK Road,529077,4864934,2094,43.936951,-110.63771
ALM16-004,Lozier hill meadow (lozier hill east),538775,4856609,2091,43.861552,-110.517486
ALM16-005,Buffalo fork,549358,4855639,2132,43.852187,-110.385888
ALM16-006,Aimees Meadow,533942,4861337,2110,43.904982,-110.556561
ALM16-007,Lozier hill meadow (lozier hill east),538775,4856609,2091,43.861552,-110.517486
ALM16-008,Grand view parking,535142,4860599,2146,43.897657,-110.562431
ALM16-009,Climbers ranch,521577,4838973,2043,43.703465,-110.732203
ALM16-010,Climbers ranch,521577,4838973,2043,43.703465,-110.732203
ALM16-011,Mt. Moran turnout,528887,4850207,2104,43.804364,-110.640875
ALM16-012,Aimees Meadow,533942,4861337,2110,43.904982,-110.556561
ALM16-013,Lupine Meadow,521129,4843032,2063,43.740024,-110.737604
ALM16-014,Grand view parking,535142,4860599,2146,43.897657,-110.562431
ALM16-015,Surprise fall down,520001,4841263,2105,43.724128,-110.751678
ALM16-016,Taggart Lake trailhead,521361,4837657,2006,43.691622,-110.734936
ALM16-017,AMK Road,529077,4864934,2094,43.936951,-110.63771
ALM16-018,Mt. Moran turnout,528887,4850207,2104,43.804364,-110.640875
ALM16-019,Climbers ranch,521577,4838973,2043,43.703465,-110.732203
ALM16-020,Climbers ranch,521577,4838973,2043,43.703465,-110.732203
ALM16-021,Cygnet Pond,530146,4861081,2086,43.902218,-110.624609
ALM16-022,AMK Road,529077,4864934,2094,43.936951,-110.63771
ALM16-023,Taggart Lake trailhead,521361,4837657,2006,43.691622,-110.734936
ALM16-024,Aimees Meadow,533942,4861337,2110,43.904982,-110.556561
ALM16-025,AMK road,529077,4864934,2094,43.936951,-110.63771
ALM16-026,Grand view parking,535142,4860599,2146,43.897657,-110.562431
ALM16-027,Cygnet Pond,530146,4861081,2086,43.902218,-110.624609
ALM16-028,Climbers ranch,521577,4838973,2043,43.703465,-110.732203
ALM16-029,Mt. Moran turnout,528887,4850207,2104,43.804364,-110.640875
ALM16-030,Two Ocean Road 2,540030,4860396,2119,43.89558,-110.501585
ALM16-031,Aimees Meadow,533942,4861337,2110,43.904982,-110.556561
ALM16-032,Dump Road,530523,4861790,2090,43.908586,-110.619874
ALM16-033,Hidden Falls Trail,521439,4843954,2080,43.748317,-110.733718
ALM16-034,AMK Road,529077,4864934,2094,43.936951,-110.63771
ALM16-035,Grand view parking,535142,4860599,2146,43.897657,-110.562431
ALM16-036,AMK Road,529077,4864934,2094,43.936951,-110.63771
ALM16-037,Grand view 1,535627,4861193,2225,43.902982,-110.556352
ALM16-038,Bear paw lake trail,522079,4849388,2114,43.797224,-110.725545
ALM16-039,Grand view 2,535609,4861415,2285,43.904982,-110.556561
ALM16-040,Dump Road,530523,4861790,2090,43.908586,-110.619874
ALM16-041,Dump Road,530523,4861790,2090,43.908586,-110.619874
ALM16-042,Near Wilderness Rd 3 but not at a real site,,,,,
