"SiteID","n","Latitude","Longitude","V1","V2","V3"
"Aimees Meadow",7,43.904982,-110.556561,0.171495137457143,0.392531411585714,0.435973425885714
"AMK Ranch",6,43.937965,-110.64224,0.04535949205,0.608997998516667,0.345642495
"AMK Road",7,43.936951,-110.63771,0.2130471373,0.4244808519,0.362471868571429
"Bear paw lake intersection",1,43.827727,-110.728402,9.999e-05,0.9998,9.999e-05
"Bear paw lake trail",7,43.797224,-110.725545,0.1077112773,0.852941714285714,0.0393469928571429
"Buffalo fork",2,43.852187,-110.385888,9.99906e-05,0.107113995,0.892786
"Climbers ranch",6,43.703465,-110.732203,0.199677128516667,0.38016344685,0.420159495
"Cygnet Pond",5,43.902218,-110.624609,0.13614899266,0.6081286,0.255722198
"Death canyon phelps lake",4,43.655143,-110.805065,9.9990275e-05,0.9803355,0.0195644925
"Death canyon Rangers",7,43.665297,-110.831674,0.0202024203142857,0.68151845,0.298278994285714
"Grand view 2",3,43.904982,-110.556561,0.464957663333333,0.333333327433333,0.201708996666667
"Grand view parking",6,43.897657,-110.562431,0.22491632705,0.429021198333333,0.34606228
"Lozier Hill Meadow",6,43.861552,-110.517486,9.99905666666667e-05,0.558344166666667,0.441555848333333
"Lozier Road",1,43.860822,-110.530284,9.999e-05,0.9998,9.999e-05
"Mt. Moran turnout",4,43.804364,-110.640875,0.250024993325,0.6054037475,0.1445712475
"North Jenny lake",4,43.786978,-110.721751,9.9990275e-05,0.7420974975,0.257802545
"Paintbrush canyon trail",5,43.797974,-110.738059,0.20003999248,0.584964996,0.214994976
"Pilgrim Creek",11,43.915136,-110.580039,0.354958904754545,0.274094994954545,0.370946060909091
"Shadow mountain",5,43.695992,-110.592318,0.01493475222,0.73265378,0.252411394
"Sound of music",6,43.708264,-110.587208,9.99903833333333e-05,0.783929783333333,0.21597016
"String lake parking",4,43.785269,-110.729962,9.999055e-05,0.82452,0.17537987
"Surprise 1",6,43.726221,-110.741526,0.126373992216667,0.567222998533333,0.306402996666667
"Surprise 2",5,43.72417,-110.742441,0.04597139246,0.57538719824,0.378641396
"Taggart Lake trailhead",5,43.691622,-110.734936,0.34359879424,0.42789159622,0.228509594
"Timbered Island",4,43.738717,-110.725365,0.25002499305,0.6218172475,0.128157745
"Two Ocean Road 2",3,43.89558,-110.501585,0.0317373603666667,0.618103330366667,0.35015933
"Wilderness Rd 1",6,43.934225,-110.448847,0.131213828883333,0.3495273289,0.519258708333333
"Wilderness Rd 2",7,43.92851,-110.456861,0.1204391346,0.726274284442857,0.153286594285714
"Wilderness Rd 3",3,43.909785,-110.474666,0.222589663733333,0.0018503374,0.77556
